name;category;date;y;z;color
>=90 ans;tests positifs / réalisés;17-05-2020;4,5;399;"#F0B813"
>=90 ans;tests positifs / réalisés;24-05-2020;4,47;546;"#F0B813"
>=90 ans;tests positifs / réalisés;31-05-2020;3,19;373;"#EEA918"
>=90 ans;tests positifs / réalisés;07-06-2020;2,79;263;"#EEA918"
>=90 ans;tests positifs / réalisés;14-06-2020;1,85;161;"#ED9D1D"
>=90 ans;tests positifs / réalisés;21-06-2020;1,2;100;"#ED9D1D"
>=90 ans;tests positifs / réalisés;28-06-2020;0,97;83;"#ED9D1D"
>=90 ans;tests positifs / réalisés;05-07-2020;0,98;88;"#EC9221"
>=90 ans;tests positifs / réalisés;12-07-2020;0,7;59;"#EC9221"
>=90 ans;tests positifs / réalisés;19-07-2020;0,73;56;"#EB8626"
>=90 ans;tests positifs / réalisés;26-07-2020;0,85;82;"#EB8626"
>=90 ans;tests positifs / réalisés;02-08-2020;0,87;86;"#EA7A2A"
>=90 ans;tests positifs / réalisés;09-08-2020;1,27;122;"#EA7A2A"
>=90 ans;tests positifs / réalisés;16-08-2020;1,37;141;"#EA7A2A"
>=90 ans;tests positifs / réalisés;23-08-2020;1,49;177;"#E96F2E"
>=90 ans;tests positifs / réalisés;30-08-2020;1,96;259;"#E96F2E"
>=90 ans;tests positifs / réalisés;06-09-2020;3,27;430;"#E86333"
>=90 ans;tests positifs / réalisés;13-09-2020;5,08;780;"#E86333"
>=90 ans;tests positifs / réalisés;20-09-2020;5,63;907;"#E75737"
>=90 ans;tests positifs / réalisés;27-09-2020;5,85;845;"#ffffff"
>=90 ans;tests positifs / réalisés;04-10-2020;7,09;1070;"#3498db"
